Angle,X axis,Y axis,Z axis,Magnitude,Time
20 degrees,29.7,-32.55,-36.9,57.47349,24.61981
40 degrees,25.95,-33,-37.35,56.19097,47.41691
60 degrees,25.05,-29.25,-39.6,55.23789,61.92734
80 degrees,17.1,-26.1,-38.85,49.82913,84.79349
100 degrees,15.6,-21.45,-40.8,48.66315,95.08156
120 degrees,14.55,-15.15,-41.4,46.42397,111.3387
140 degrees,14.25,-9.9,-38.7,42.41182,125.9564
160 degrees,16.95,-5.7,-38.7,42.63194,137.9535
180 degrees,20.25,-2.4,-37.8,42.94953,145.7738
200 degrees,22.95,-4.5,-37.2,43.94078,160.2369
220 degrees,27.3,-2.85,-40.35,48.80097,169.7825
240 degrees,33.75,-3.75,-39.6,52.16594,177.9127
260 degrees,40.65,-4.5,-39.9,57.1374,190.2972
280 degrees,42.3,-8.7,-41.25,59.72054,200.6485
300 degrees,45.45,-15,-39.15,61.83385,208.4825
320 degrees,46.5,-18.75,-40.2,64.26393,215.7041
340 degrees,46.95,-21,-40.35,65.37144,223.872
360 degrees,39.3,-29.1,-36.6,61.08077,231.6947