0.0,0.19921875,0.70703125,0.60546875
0.103206,0.1953125,0.73046875,0.60546875
0.205572,0.17578125,0.72265625,0.62109375
0.307599,0.171875,0.7265625,0.609375
0.409654,0.18359375,0.7265625,0.6015625
0.512002,0.18359375,0.72265625,0.59765625
0.717711,0.16796875,0.7265625,0.59765625
0.819719,0.18359375,0.73828125,0.5859375
0.922695,0.1796875,0.73046875,0.5859375
1.025172,0.1875,0.72265625,0.5859375
1.128257,0.171875,0.734375,0.58984375
1.23115,0.1796875,0.73828125,0.55859375
1.333652,0.21484375,0.734375,0.59375
1.435663,0.19921875,0.74609375,0.5625
1.538059,0.2109375,0.73828125,0.5859375
1.6415,0.1953125,0.734375,0.59375
1.84671,0.1953125,0.734375,0.58203125
1.948735,0.20703125,0.734375,0.58984375
2.051089,0.19921875,0.734375,0.578125
2.154298,0.17578125,0.7421875,0.5703125
2.257392,0.1640625,0.71875,0.57421875
2.359703,0.18359375,0.734375,0.59765625
2.462914,0.171875,0.73828125,0.546875
2.565779,0.14453125,0.7265625,0.55078125
2.668033,-0.03515625,0.73046875,0.36328125
2.771547,-0.03125,0.75,0.31640625
2.87374,-0.0078125,0.5859375,0.33203125
3.181434,0.21484375,-0.1953125,0.13671875
3.284566,0.5234375,0.2421875,0.671875
3.386779,-0.11328125,0.19140625,0.08203125
3.489803,0.65234375,0.203125,0.8984375
3.593357,0.9140625,0.0078125,0.8046875
3.901728,0.53515625,0.10546875,0.53125
4.003947,0.42578125,0.3828125,0.71875
4.107137,0.421875,0.53515625,1.16015625
4.209862,0.62890625,0.046875,0.82421875
4.31285,0.57421875,0.34375,0.62890625
4.415761,0.49609375,0.390625,0.8984375
4.518997,0.47265625,0.078125,0.7109375
4.622215,0.734375,0.359375,0.88671875
4.72542,0.37890625,0.3125,0.62109375
4.828096,0.24609375,0.16015625,0.71875
4.930825,0.23828125,0.125,0.66015625
5.03405,1.23046875,0.296875,1.30859375
5.137486,0.234375,0.2421875,1.39453125
5.240477,0.59765625,0.34765625,1.20703125
5.342674,0.609375,0.35546875,0.84375
5.44497,0.15234375,0.48828125,0.7265625
5.548113,0.41015625,0.33984375,0.8984375
5.651291,0.453125,0.23828125,0.921875
5.856734,0.35546875,0.32421875,0.80078125
6.063075,0.34765625,0.37890625,0.8984375
6.269656,0.4140625,0.35546875,0.88671875
6.371759,0.296875,0.28125,0.84765625
6.579238,1.0390625,0.5859375,0.0859375
6.681924,0.4921875,0.31640625,-0.62890625
6.887822,0.2109375,0.17578125,-0.72265625
6.99103,1.703125,1.359375,-0.89453125
7.094224,0.79296875,0.83203125,0.11328125
7.197611,0.46875,0.02734375,0.73828125
7.300164,0.0234375,-0.12109375,-0.07421875
7.402811,-0.421875,-0.1875,0.9296875
7.506021,-0.734375,-0.2421875,0.75
7.609093,-0.890625,-0.203125,0.375
7.815787,-1.26953125,0.11328125,-0.25
7.918851,-0.87890625,0.109375,-0.19140625
8.022069,-0.96484375,0.203125,-0.0390625
8.12553,-0.91015625,0.2421875,-0.09375
8.331791,-0.890625,0.38671875,-0.12109375
8.434859,-0.8828125,0.41015625,-0.0234375
8.538082,-0.875,0.41796875,-0.078125
8.641839,-0.859375,0.43359375,-0.06640625
8.745724,-0.86328125,0.44140625,-0.0546875